nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,AUC,seed,level
100,30,0.1,0,0.8,1,0.4,0.6065583301071106,1,order
100,30,0.1,0,0.8,1,0.5,0.6045781870720895,1,order
100,30,0.1,0,0.8,1,0.6,0.609583234802747,1,order
100,30,0.1,0,0.8,1,0.7,0.6095419304321743,1,order
100,30,1,0,0.8,1,0.4,0.5607615498774036,1,order
100,30,1,0,0.8,1,0.5,0.5654901312462288,1,order
100,30,1,0,0.8,1,0.6,0.5696724756115,1,order
100,30,1,0,0.8,1,0.7,0.5768634854366562,1,order
100,1,0.001,0,0.8,1,0.4,0.606833377366914,10,order
100,1,0.001,0,0.8,1,0.5,0.6027930927443123,10,order
100,1,0.001,0,0.8,1,0.6,0.5984308036259256,10,order
100,1,0.001,0,0.8,1,0.7,0.5941673480972262,10,order
100,1,0.01,0,0.8,1,0.4,0.616517007425544,10,order
100,1,0.01,0,0.8,1,0.5,0.6137348437287462,10,order
100,1,0.01,0,0.8,1,0.6,0.6099174012863038,10,order
100,1,0.01,0,0.8,1,0.7,0.60418031140897,10,order
100,1,0.1,0,0.8,1,0.4,0.6410822704237339,10,order
100,1,0.1,0,0.8,1,0.5,0.6408557494777007,10,order
100,1,0.1,0,0.8,1,0.6,0.6394099038062453,10,order
100,1,0.1,0,0.8,1,0.7,0.6387463425969524,10,order
100,1,1,0,0.8,1,0.4,0.582878728031167,10,order
100,1,1,0,0.8,1,0.5,0.5895673120856048,10,order
100,1,1,0,0.8,1,0.6,0.5952364891023427,10,order
100,1,1,0,0.8,1,0.7,0.6023562473623449,10,order
100,2,0.001,0,0.8,1,0.4,0.6329166596910499,10,order
100,2,0.001,0,0.8,1,0.5,0.6281591186133869,10,order
100,2,0.001,0,0.8,1,0.6,0.6217080246622929,10,order
100,2,0.001,0,0.8,1,0.7,0.6143146718146718,10,order
100,2,0.01,0,0.8,1,0.4,0.6395313963789574,10,order
100,2,0.01,0,0.8,1,0.5,0.6362223887650716,10,order
100,2,0.01,0,0.8,1,0.6,0.6342007469141615,10,order
100,2,0.01,0,0.8,1,0.7,0.6288070840875719,10,order
100,2,0.1,0,0.8,1,0.4,0.6428466680966681,10,order
100,2,0.1,0,0.8,1,0.5,0.6454092829763561,10,order
100,2,0.1,0,0.8,1,0.6,0.644183753439851,10,order
100,2,0.1,0,0.8,1,0.7,0.644502288002288,10,order
100,2,1,0,0.8,1,0.4,0.5871619947473606,10,order
100,2,1,0,0.8,1,0.5,0.5895963855841905,10,order
100,2,1,0,0.8,1,0.6,0.5993693737291298,10,order
100,2,1,0,0.8,1,0.7,0.6088639780895878,10,order
100,4,0.001,0,0.8,1,0.4,0.644990389780024,10,order
100,4,0.001,0,0.8,1,0.5,0.6443005897883947,10,order
100,4,0.001,0,0.8,1,0.6,0.6421783220502733,10,order
100,4,0.001,0,0.8,1,0.7,0.6391824250208397,10,order
100,4,0.01,0,0.8,1,0.4,0.6490772601870163,10,order
100,4,0.01,0,0.8,1,0.5,0.648395000401098,10,order
100,4,0.01,0,0.8,1,0.6,0.6476084246267173,10,order
100,4,0.01,0,0.8,1,0.7,0.6476147741818473,10,order
100,4,0.1,0,0.8,1,0.4,0.6363324343507271,10,order
100,4,0.1,0,0.8,1,0.5,0.6384674447967131,10,order
100,4,0.1,0,0.8,1,0.6,0.6379596809352907,10,order
100,4,0.1,0,0.8,1,0.7,0.6397648223136028,10,order
100,4,1,0,0.8,1,0.4,0.58643770948649,10,order
100,4,1,0,0.8,1,0.5,0.5961930358058407,10,order
100,4,1,0,0.8,1,0.6,0.6038086562171928,10,order
100,4,1,0,0.8,1,0.7,0.6049809958041665,10,order
100,8,0.001,0,0.8,1,0.4,0.6450706752048215,10,order
